,State,Year,Population,Household Income by Race,Poverty Rate,Dem Margin,Property Value,Median Age,state,state_flag_url,state_seal_url,map_image_url,landscape_background_url,skyline_background_url,twitter_url,governor_name,num_representatives,senator1,senator2,chronically_homeless,diabetes_prevalence
22,Minnesota,2018,5611179,70315,0.0964001163192394,0.0151984085748962,235400,38.2,Minnesota,https://cdn.civil.services/us-states/flags/minnesota-large.png,https://cdn.civil.services/us-states/seals/minnesota-large.png,https://cdn.civil.services/us-states/maps/minnesota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/minnesota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/minnesota.jpg,,Tim Walz,8,Amy Klobuchar,Tina Smith,709,0.10499999672174454
23,Mississippi,2018,2986530,44717,0.1966586614413285,-0.1782624981705154,123300,37.7,Mississippi,https://cdn.civil.services/us-states/flags/mississippi-large.png,https://cdn.civil.services/us-states/seals/mississippi-large.png,https://cdn.civil.services/us-states/maps/mississippi-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/mississippi.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/mississippi.jpg,https://twitter.com/msdotgov,Tate Reeves,4,Cindy Hyde-Smith,Roger F. Wicker,813,0.07999999821186066
24,Missouri,2018,6126452,54478,0.1322973158953627,-0.1863711700292494,162600,38.8,Missouri,https://cdn.civil.services/us-states/flags/missouri-large.png,https://cdn.civil.services/us-states/seals/missouri-large.png,https://cdn.civil.services/us-states/maps/missouri-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/missouri.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/missouri.jpg,https://twitter.com/MoGov,Michael L. Parson,8,Roy Blunt,Josh Hawley,61,0.14000000059604645
25,Montana,2018,1062305,55328,0.1302351315036117,-0.2053097309342684,249200,40.1,Montana,https://cdn.civil.services/us-states/flags/montana-large.png,https://cdn.civil.services/us-states/seals/montana-large.png,https://cdn.civil.services/us-states/maps/montana-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/montana.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/montana.jpg,,Greg Gianforte,1,Steve Daines,Jon Tester,883,0.11299999803304672
26,Nebraska,2018,1929268,59566,0.1100284641414739,-0.2504859474999022,161800,36.7,Nebraska,https://cdn.civil.services/us-states/flags/nebraska-large.png,https://cdn.civil.services/us-states/seals/nebraska-large.png,https://cdn.civil.services/us-states/maps/nebraska-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/nebraska.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/nebraska.jpg,https://twitter.com/Nebraskagov,Pete Ricketts,3,Ben Sasse,Deb Fischer,182,0.08100000023841858
27,Nevada,2018,3034392,58646,0.1294551631061458,0.0241712836051662,292200,38.2,Nevada,https://cdn.civil.services/us-states/flags/nevada-large.png,https://cdn.civil.services/us-states/seals/nevada-large.png,https://cdn.civil.services/us-states/maps/nevada-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/nevada.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/nevada.jpg,,Steve Sisolak,4,Catherine Cortez Masto,Jacky Rosen,361,0.09000000357627869
28,New Hampshire,2018,1356458,74991,0.0763868457918637,0.0036759568773713,270000,43.1,New Hampshire,https://cdn.civil.services/us-states/flags/new-hampshire-large.png,https://cdn.civil.services/us-states/seals/new-hampshire-large.png,https://cdn.civil.services/us-states/maps/new-hampshire-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-hampshire.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-hampshire.jpg,https://twitter.com/nhgov,Chris Sununu,2,Jeanne Shaheen,Margaret Wood Hassan,502,0.09200000017881393
29,New Jersey,2018,8908520,81740,0.0952173079229192,0.1410269779966474,344000,40.0,New Jersey,https://cdn.civil.services/us-states/flags/new-jersey-large.png,https://cdn.civil.services/us-states/seals/new-jersey-large.png,https://cdn.civil.services/us-states/maps/new-jersey-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-jersey.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-jersey.jpg,,Phil Murphy,12,Robert Menendez,Cory A. Booker,100,0.09300000220537186
30,New Mexico,2018,2095428,47169,0.1946895322501327,0.0821313284539138,174700,38.1,New Mexico,https://cdn.civil.services/us-states/flags/new-mexico-large.png,https://cdn.civil.services/us-states/seals/new-mexico-large.png,https://cdn.civil.services/us-states/maps/new-mexico-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-mexico.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-mexico.jpg,,Michelle Lujan Grisham,3,Martin Heinrich,Ben Ray Luján,955,0.09200000017881393
31,New York,2018,19542209,67844,0.1361198838254726,0.2374554029410603,325500,39.0,New York,https://cdn.civil.services/us-states/flags/new-york-large.png,https://cdn.civil.services/us-states/seals/new-york-large.png,https://cdn.civil.services/us-states/maps/new-york-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-york.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-york.jpg,https://twitter.com/nygov,Andrew M. Cuomo,27,Kirsten E. Gillibrand,Charles E. Schumer,712,0.08399999886751175
32,North Carolina,2018,10383620,53855,0.1403774749810181,-0.0365522852797093,180600,38.9,North Carolina,https://cdn.civil.services/us-states/flags/north-carolina-large.png,https://cdn.civil.services/us-states/seals/north-carolina-large.png,https://cdn.civil.services/us-states/maps/north-carolina-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/north-carolina.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/north-carolina.jpg,https://twitter.com/NCdotGov,Roy Cooper,13,Thom Tillis,Richard Burr,5087,0.0949999988079071
33,North Dakota,2018,760077,63837,0.1067993717684013,-0.3572888837263329,198700,35.4,North Dakota,https://cdn.civil.services/us-states/flags/north-dakota-large.png,https://cdn.civil.services/us-states/seals/north-dakota-large.png,https://cdn.civil.services/us-states/maps/north-dakota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/north-dakota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/north-dakota.jpg,https://twitter.com/ExperienceND,Doug Burgum,1,John Hoeven,Kevin Cramer,994,0.11100000143051147
34,Ohio,2018,11689442,56111,0.138939514380182,-0.0812957439906617,151100,39.5,Ohio,https://cdn.civil.services/us-states/flags/ohio-large.png,https://cdn.civil.services/us-states/seals/ohio-large.png,https://cdn.civil.services/us-states/maps/ohio-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/ohio.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/ohio.jpg,https://twitter.com/ohgov,Mike DeWine,16,Sherrod Brown,Rob Portman,37,0.08399999886751175
35,Oklahoma,2018,3943079,51924,0.1560639964110057,-0.3639118453508346,140000,36.7,Oklahoma,https://cdn.civil.services/us-states/flags/oklahoma-large.png,https://cdn.civil.services/us-states/seals/oklahoma-large.png,https://cdn.civil.services/us-states/maps/oklahoma-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/oklahoma.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/oklahoma.jpg,https://twitter.com/okgov,Kevin Stitt,5,James M. Inhofe,James Lankford,725,0.11500000208616257
